weapon,mean distance,standard deviation,lower bound,upper bound,frequency
AWM,,,,,2932
Drown,,,,,6042
Grenade,,,,,24688
Tommy Gun,,,,,17513
Vector,,,,,8015
P92,,,,,15766
Motorbike,,,,,1237
AUG,,,,,613
M16A4,,,,,129860
Mk14,,,,,1736
S686,,,,,35051
R1895,,,,,4687
Hit by Car,,,,,12701
death.WeapSawnoff_C,4052.569477139755,381.0197385999415,2909.5102613399304,5195.628692939579,5
Sickle,,,,,516
S12K,,,,,31193
VSS,,,,,3558
RedZone,,,,,1777
Uaz,,,,,5689
SKS,,,,,31236
Pan,,,,,1925
death.Buff_FireDOT_C,,,,,347
DP-28,,,,,4714
Boat,,,,,226
Bluezone,,,,,66606
death.ProjMolotov_DamageField_C,,,,,1007
Down and Out,,,,,236608
Falling,,,,,15672
Kar98k,,,,,35845
Crossbow,,,,,2297
AKM,,,,,118562
P1911,,,,,16440
Aquarail,,,,,3
R45,4300.495021021163,553.6280142611897,2639.6109782375934,5961.379063804732,3
S1897,,,,,61563
death.RedZoneBomb_C,,,,,3
SCAR-L,,,,,127022
UMP9,,,,,75792
Crowbar,4749.302745197279,1436.5878616208602,439.53916033469886,9059.06633005986,588
Punch,,,,,37505
Motorbike (SideCar),,,,,1403
death.ProjMolotov_C,4977.753713146635,2013.7348153565874,-1063.4507329231274,11018.958159216398,33
Micro UZI,,,,,27641
Dacia,,,,,2516
M24,,,,,4168
death.PlayerMale_A_C,11081.729344863046,0.0,11081.729344863046,11081.729344863046,1
M416,,,,,154026
Mini 14,,,,,44424
M249,,,,,3206
Machete,,,,,684
Groza,,,,,4646
Buggy,,,,,965
P18C,,,,,1634
