weapon,mean distance,standard deviation,lower bound,upper bound,frequency
Crowbar,859.4130033177343,2186.0240672671557,-5698.659198483733,7417.485205119202,1599
Motorbike (SideCar),,,,,3740
death.Buff_FireDOT_C,,,,,923
Hit by Car,,,,,34165
death.RedZoneBomb_C,,,,,25
RedZone,,,,,4842
Punch,,,,,100019
VSS,267.1808566442363,1127.7182920234693,-3115.9740194261717,3650.3357327146446,9237
Pan,947.6903323277993,2245.645438764295,-5789.245983965085,7684.626648620683,5153
death.ProjMolotov_DamageField_C,,,,,2245
Bluezone,,,,,177338
Buggy,,,,,2640
Drown,,,,,16051
Down and Out,,,,,630467
Uaz,,,,,14997
Falling,,,,,41606
