,weapon,map,distance,killer name
0,P18C,MIRAMAR,3592.9193285078086,takelife98K
1,P18C,MIRAMAR,3862.0417325702215,BaterGg
2,Punch,MIRAMAR,7291.967292694956,PZGG
3,P18C,MIRAMAR,3704.866631090787,KILL0ME
4,R45,MIRAMAR,3791.842194337734,Misank
5,Hit by Car,MIRAMAR,6144.914673004012,FAEwushen
6,Pan,MIRAMAR,5477.590425223486,ShironekoSu
7,P1911,MIRAMAR,3752.1691420783527,NanBeiJieShuo
8,P92,MIRAMAR,3751.479056569822,Crazy-Romance
9,Punch,MIRAMAR,6269.069997261556,KlyAzure
10,Punch,MIRAMAR,6200.574600209404,Talao8
11,P92,MIRAMAR,3712.019986985253,Crazy-Romance
12,P92,MIRAMAR,3771.459697066376,Sun_eason
13,Punch,MIRAMAR,4780.965826892511,kknnjdjdjdd
14,P92,MIRAMAR,5305.860818354455,FpsNoob163
15,Punch,MIRAMAR,3736.7119835630892,Abner_CSZ
16,R45,MIRAMAR,3770.4157430843084,PenAppie
17,Pan,MIRAMAR,1963.5384080962103,djhheflpp
18,P1911,MIRAMAR,5595.793452587399,YouDirty
19,Hit by Car,MIRAMAR,4401.082662298562,MyNameIsTdog
20,R45,MIRAMAR,4432.305601580288,speedteamYX
21,Punch,MIRAMAR,3881.101288203903,wujinguo711
22,Punch,MIRAMAR,4438.116442925985,FackTheGs
23,Punch,MIRAMAR,2650.654277812367,RNGlove88
24,Punch,MIRAMAR,4648.659832440743,Kuro_Kunn
25,Punch,MIRAMAR,2605.343960709411,RNGlove88
26,R45,MIRAMAR,4452.439345542733,DEITYHAHA
27,Punch,MIRAMAR,4295.65250254161,Free_pentakill
28,P92,MIRAMAR,2638.787306292987,devi1_K
29,Punch,MIRAMAR,5178.450033470054,TakiThe
30,Punch,MIRAMAR,4618.128348020223,Bayou-Boogie
31,P1911,MIRAMAR,3812.9322621478605,MikeyMike05
32,Hit by Car,MIRAMAR,3139.238975915023,Ppw656851483
33,P18C,MIRAMAR,4953.053475622689,Tactical_Pickle
34,Punch,MIRAMAR,3309.1266274281497,yuxishuaige
35,P92,MIRAMAR,3749.0121460699484,BobaRex
36,Hit by Car,MIRAMAR,5687.096052961477,asd-4185941
37,Machete,MIRAMAR,2117.17391397731,DarkSniff
38,Punch,MIRAMAR,4500.17980662162,asd-4185941
39,P92,MIRAMAR,3676.865659177257,Vvvvv1874
40,P92,MIRAMAR,3210.813820384639,CatSnaz
41,P1911,MIRAMAR,2206.5084263614312,PandaTV_843874
42,P1911,MIRAMAR,3705.889506329621,FlawlessWhale
43,P92,MIRAMAR,3587.000694245821,papayax11
44,P92,MIRAMAR,3273.4434257940065,DaGBaG
45,P92,MIRAMAR,5248.501644963922,#unknown
46,P1911,MIRAMAR,4408.966486869684,Am-fighting-1Fa
47,P92,MIRAMAR,3697.1337917496303,irJAYMZ
48,P92,MIRAMAR,3719.6607108307608,irJAYMZ
49,Punch,MIRAMAR,1912.9064290322724,Torch04
50,Hit by Car,MIRAMAR,5177.526840335354,qccx
51,P92,MIRAMAR,4688.08018832656,SCTC
52,Punch,MIRAMAR,7804.036098534205,xiaoajiao0210
53,Punch,MIRAMAR,3819.4657737103757,520Kazuya
54,Punch,MIRAMAR,3237.2598374307245,159zxc
55,P92,MIRAMAR,3277.638958558432,bestame
56,P1911,MIRAMAR,3178.002314492864,AOSHILIN
57,P18C,MIRAMAR,2195.0870688692507,LANGAY
58,P92,MIRAMAR,3802.9094230814912,sunununun
59,P92,MIRAMAR,4854.323643025875,66CNhyw
60,Hit by Car,MIRAMAR,4765.224013867659,hd52013
61,Punch,MIRAMAR,7599.542434470644,Gxxxx1999
