,weapon,map,distance,killer name
0,P1911,MIRAMAR,9829.141212531738,bin862772726
1,R45,MIRAMAR,5009.339549023404,NILAOBEI
2,P1911,MIRAMAR,6229.715848996004,CGLAI
3,Hit by Car,MIRAMAR,5315.451405028646,ChenMocheng
4,P1911,MIRAMAR,3709.899958097523,BrunoMars00
5,R45,MIRAMAR,984.99426657274,MellowYe11ow
6,Hit by Car,MIRAMAR,3738.7341307629777,Dmshu
7,Punch,MIRAMAR,1831.7529171310196,w213edrw
8,P1911,MIRAMAR,3809.228966418926,StevenAn-L
9,P92,MIRAMAR,4784.860916065273,BurningGrey
10,Punch,MIRAMAR,1852.5297775334138,w213edrw
11,Punch,MIRAMAR,1842.1298396285752,w213edrw
12,R45,MIRAMAR,3737.470850818773,TorridConfection
13,R45,MIRAMAR,3745.804212524995,TorridConfection
14,R45,MIRAMAR,3731.798777273234,TorridConfection
15,Machete,MIRAMAR,6941.492335318466,fredioactif
16,Hit by Car,MIRAMAR,2490.059729086232,Spengle
17,Punch,MIRAMAR,3733.0088766382537,OgSkull209
18,Punch,MIRAMAR,3721.398567441144,Bowmasters-r
19,P1911,MIRAMAR,3755.8522844154822,BOX-Collector
20,Punch,MIRAMAR,7444.027751009328,LiQinghou
21,R45,MIRAMAR,2992.366939275496,mattac
22,P1911,MIRAMAR,3250.5387497093466,GetMed
23,P1911,MIRAMAR,2282.8240399001406,FuzzyLLama2010
24,P1911,MIRAMAR,4669.06171006938,IG_xiaoD
25,P1911,MIRAMAR,6987.319563617081,Hlxiaopapapa
26,Punch,MIRAMAR,4653.426441621916,Hero_Boy
27,P18C,MIRAMAR,4644.511301623239,wentonga
28,P1911,MIRAMAR,4635.3511948990445,motherfuckermen
29,Hit by Car,MIRAMAR,2996.4657167099376,ChocoNutsX
30,Punch,MIRAMAR,3743.836741745692,wzqqff
31,P92,MIRAMAR,4764.4294337292895,HyeokGGyu
32,Punch,MIRAMAR,2912.9390450671362,Hello-Bo
33,Punch,MIRAMAR,3761.6538247239073,TThouzi
34,Punch,MIRAMAR,6860.603327260365,zys11520
35,Punch,MIRAMAR,4673.3485415814,sawadika456
36,Hit by Car,MIRAMAR,4901.613976557212,AwmSiberia
37,Punch,MIRAMAR,3755.1346415675966,t0eYS1oWL1fe
38,R45,MIRAMAR,6900.4287547787935,JerryaMan
39,P1911,MIRAMAR,3224.7215496202152,Pasinile
40,Hit by Car,MIRAMAR,2778.6968921465686,destroy668
41,P92,MIRAMAR,3678.5833048037666,hongliang1218
42,Hit by Car,MIRAMAR,2662.147006391082,destroy668
43,Hit by Car,MIRAMAR,2600.4387679812803,destroy668
44,Hit by Car,MIRAMAR,2631.3449788245175,king-ing
45,Hit by Car,MIRAMAR,2750.272860072614,destroy668
46,P1911,MIRAMAR,4144.8684072309225,jayjayininder001
47,Hit by Car,MIRAMAR,3113.9056547137066,ButterIsLife
48,Hit by Car,MIRAMAR,2744.6818532946577,destroy668
49,Punch,MIRAMAR,3282.5058360770663,BigDaddy88
50,Punch,MIRAMAR,3235.082811691379,BigDaddy88
51,P92,MIRAMAR,3306.611574286281,ImTryant
52,Punch,MIRAMAR,2573.3139000324077,SoS_PengPeng
53,P1911,MIRAMAR,7763.2593190170455,TO_V2
54,Punch,MIRAMAR,4669.337674105397,Gump-LYR
55,Punch,MIRAMAR,2919.859173400587,Kizerken2143
56,Punch,MIRAMAR,4821.61050793083,QAQYYY1
57,P92,MIRAMAR,7688.906843479117,gourideGB
58,Punch,MIRAMAR,8176.391868339543,Lady_Ethereal
59,Punch,MIRAMAR,8177.409779470514,Lady_Ethereal
60,P92,MIRAMAR,5590.57983664387,DuhPanda
61,R45,MIRAMAR,6177.137149126607,That515
62,Punch,MIRAMAR,5223.862769554537,Cat5335
63,Punch,MIRAMAR,5225.619812235196,Cat5335
64,R45,MIRAMAR,6175.161786391997,That515
65,P92,MIRAMAR,3707.8756776159585,#unknown
66,Punch,MIRAMAR,3719.017392056805,TIANlonghui1
67,Punch,MIRAMAR,4916.377161408998,2115459376
68,P1911,MIRAMAR,4937.672892719403,Martin_1999
69,P92,MIRAMAR,5677.636320048158,xiaoshi5686
70,Hit by Car,MIRAMAR,4449.155732919449,Kadence
71,Punch,MIRAMAR,4821.4942022432215,Ten_mile
72,Punch,MIRAMAR,4166.30806446631,Crixman
73,Punch,MIRAMAR,5388.778331106411,willabella
74,Punch,MIRAMAR,4446.272719698826,budaowen2316
75,P1911,MIRAMAR,5042.259488969702,Venimmie
76,Sickle,MIRAMAR,5031.012730623925,#unknown
77,P1911,MIRAMAR,4911.1881308557095,Venimmie
78,P92,MIRAMAR,4677.954798468664,RallyX
79,P1911,MIRAMAR,4580.338958010095,woaini_cnm
80,Punch,MIRAMAR,4878.069702693986,MONG_HEN
81,Punch,MIRAMAR,3734.4342803846475,LittleBlue502
82,P92,MIRAMAR,6486.122852779541,Italian_Ice
