weapon,mean distance,standard deviation,lower bound,upper bound,frequency
UMP9,,,,,43811
S12K,,,,,15704
Micro UZI,,,,,14945
death.WeapSawnoff_C,,,,,4356
Kar98k,,,,,20457
Hit by Car,,,,,7741
Vector,,,,,4518
Falling,,,,,7044
AWM,,,,,1813
Motorbike,,,,,627
Pan,,,,,1019
P92,,,,,8370
SKS,,,,,19986
Punch,,,,,17821
Crowbar,4547.502578242206,1478.1571867820555,113.03101789603988,8981.974138588372,263
death.PG117_A_01_C,6103.349275372775,1833.0797518526606,604.1100198147933,11602.588530930756,14
P18C,,,,,833
P1911,,,,,7275
Van,,,,,226
Pickup Truck,,,,,3755
AKM,,,,,66481
M16A4,,,,,66390
VSS,,,,,1767
S686,,,,,16538
M249,,,,,1145
R45,,,,,2651
Mini 14,,,,,18976
Down and Out,,,,,140106
death.RedZoneBomb_C,,,,,34
death.Buff_FireDOT_C,,,,,192
SCAR-L,,,,,80139
Crossbow,,,,,959
RedZone,,,,,888
Machete,,,,,327
AUG,,,,,2193
death.None,,0.0,,,1
Grenade,,,,,15100
Groza,,,,,1576
M24,,,,,2525
Drown,,,,,2620
M416,,,,,103021
death.ProjMolotov_C,4535.727185601946,1670.7000052330598,-476.3728300972334,9547.827201301126,19
Mk14,,,,,1074
Sickle,4822.865636115984,1514.5368450909955,279.2551008429973,9366.476171388971,262
Aquarail,6808.525158159164,630.926368152985,4915.746053700209,8701.30426261812,12
Motorbike (SideCar),,,,,500
S1897,,,,,26841
Buggy,,,,,723
death.ProjMolotov_DamageField_C,,,,,484
Tommy Gun,,,,,9647
Bluezone,,,,,41971
Win94,,,,,8735
