weapon,mean distance,standard deviation,lower bound,upper bound,frequency
Motorbike (SideCar),,,,,559
P1911,,,,,6982
M24,,,,,2471
Tommy Gun,,,,,9607
Motorbike,,,,,615
Buggy,,,,,749
death.Buff_FireDOT_C,,,,,191
S1897,,,,,26946
death.PG117_A_01_C,6458.517727976962,922.4836375790004,3691.066815239961,9225.968640713963,13
Van,,,,,269
Crossbow,,,,,912
Crowbar,,,,,277
P18C,,,,,860
Pan,,,,,922
AUG,,,,,2067
Down and Out,,,,,138954
AWM,,,,,1860
RedZone,,,,,858
Aquarail,6835.392054152983,627.3987868142673,4953.195693710181,8717.588414595786,13
M416,,,,,102804
Micro UZI,,,,,15060
Kar98k,,,,,20558
Falling,,,,,7210
R45,,,,,2662
Bluezone,,,,,41898
M16A4,,,,,66580
death.WeapSawnoff_C,,,,,4303
VSS,,,,,1777
SCAR-L,,,,,80002
Punch,,,,,17389
death.ProjMolotov_DamageField_C,,,,,466
S686,,,,,16704
Mini 14,,,,,19002
Win94,,,,,8989
Sickle,,,,,243
Pickup Truck,,,,,3659
UMP9,,,,,43675
Grenade,,,,,14841
death.ProjMolotov_C,4112.451328931143,1049.1563198653298,964.9823693351532,7259.920288527132,14
AKM,,,,,66176
death.RedZoneBomb_C,,,,,29
S12K,,,,,15534
Hit by Car,,,,,7567
P92,,,,,8521
Drown,,,,,2610
SKS,,,,,19920
Mk14,,,,,1116
Machete,,,,,319
Vector,,,,,4772
M249,,,,,1056
Groza,,,,,1739
