weapon,mean distance,standard deviation,lower bound,upper bound,frequency
death.RedZoneBomb_C,,,,,10
S1897,,,,,61290
Tommy Gun,,,,,17527
Falling,,,,,15629
SCAR-L,,,,,127184
AWM,,,,,3082
Aquarail,5735.998751484574,1171.9956332822244,2220.011851637901,9251.985651331248,3
AUG,,,,,538
Punch,,,,,37593
Groza,,,,,4792
Crowbar,,,,,601
Uaz,,,,,5580
death.WeapSawnoff_C,4390.709961023298,836.2356471899859,1882.0030194533401,6899.416902593256,7
Vector,,,,,8238
Mini 14,,,,,44729
death.ProjMolotov_DamageField_C,,,,,904
Sickle,,,,,542
Micro UZI,,,,,28182
M249,,,,,3153
death.ProjMolotov_C,4486.982939737304,1314.7988362398455,542.5864310177676,8431.37944845684,32
R1895,,,,,4719
Boat,,,,,247
R45,2111.0292921626383,13.687326728230916,2069.9673119779454,2152.091272347331,3
Kar98k,,,,,35512
Buggy,,,,,985
Pan,,,,,1937
UMP9,,,,,75907
P1911,,,,,16254
DP-28,,,,,4439
Drown,,,,,5930
death.Buff_FireDOT_C,,,,,338
Motorbike (SideCar),,,,,1445
VSS,,,,,3426
M416,,,,,153457
M24,,,,,4301
P18C,,,,,1698
Grenade,,,,,24652
Machete,,,,,649
SKS,,,,,31242
Mk14,,,,,1569
Crossbow,,,,,2372
S686,,,,,35166
P92,,,,,15570
AKM,,,,,118273
M16A4,,,,,129430
Hit by Car,,,,,12716
Dacia,,,,,2378
Motorbike,,,,,1216
S12K,,,,,31697
RedZone,,,,,1828
Down and Out,,,,,235760
Bluezone,,,,,66628
