weapon,mean distance,standard deviation,lower bound,upper bound,frequency
Tommy Gun,,,,,47021
P1911,,,,,43139
M24,,,,,11266
Motorbike (SideCar),,,,,3719
Motorbike,,,,,3321
death.Buff_FireDOT_C,,,,,981
Buggy,,,,,2543
S1897,,,,,162170
Crossbow,,,,,6552
Crowbar,,,,,1585
P18C,,,,,4661
Pan,,,,,4986
AUG,,,,,1648
DP-28,,,,,12204
Down and Out,,,,,627047
Dacia,,,,,6354
AWM,,,,,8075
RedZone,,,,,4777
Boat,,,,,594
Aquarail,4527.323037498312,540.9745276544153,2904.3994545350665,6150.2466204615575,8
Micro UZI,,,,,74581
M416,,,,,410256
Kar98k,,,,,96467
Falling,,,,,41337
R45,3448.0718658278274,721.6700721883827,1283.061649262679,5613.082082392975,12
Bluezone,,,,,177318
M16A4,,,,,348968
VSS,,,,,9310
death.WeapSawnoff_C,3894.8066231770235,1491.9829687502295,-581.1422830736647,8370.755529427712,16
SCAR-L,,,,,339385
Uaz,,,,,14978
R1895,,,,,12427
Punch,,,,,100279
death.ProjMolotov_DamageField_C,,,,,2441
S686,,,,,93069
Mini 14,,,,,117305
Sickle,,,,,1395
UMP9,,,,,202716
Grenade,,,,,65532
death.ProjMolotov_C,,,,,99
AKM,,,,,315416
death.RedZoneBomb_C,,,,,25
S12K,,,,,84023
P92,,,,,41651
Hit by Car,,,,,34171
Drown,,,,,16129
SKS,,,,,83655
Mk14,,,,,4626
Machete,,,,,1758
Vector,,,,,21514
M249,,,,,8778
Groza,,,,,12502
