weapon,mean distance,standard deviation,lower bound,upper bound,frequency
AWM,,,,,724
Drown,,,,,1015
Pickup Truck,,,,,1286
Grenade,,,,,5484
Tommy Gun,,,,,3454
Vector,,,,,1820
P92,,,,,3060
Motorbike,,,,,221
AUG,,,,,820
M16A4,,,,,24677
Mk14,,,,,417
S686,,,,,6230
Hit by Car,,,,,2792
death.WeapSawnoff_C,,,,,1662
Sickle,4413.010358245854,1239.2728032082257,695.1919486211773,8130.828767870531,85
S12K,,,,,5877
VSS,,,,,683
Win94,,,,,3291
RedZone,,,,,332
SKS,,,,,7290
Pan,,,,,386
death.Buff_FireDOT_C,,,,,81
Bluezone,,,,,15597
death.ProjMolotov_DamageField_C,4668.945535147035,1822.9467772308749,-799.89479654559,10137.78586683966,191
Down and Out,,,,,52028
Falling,,,,,2687
Kar98k,,,,,7514
R45,,,,,1008
P1911,,,,,2652
AKM,,,,,24907
Crossbow,4693.284654658419,1531.952913224746,97.42591498418096,9289.143394332656,349
Aquarail,7028.495953864274,684.5954640821773,4974.709561617743,9082.282346110806,8
S1897,,,,,10131
death.RedZoneBomb_C,,,,,8
SCAR-L,,,,,29781
UMP9,,,,,16058
Crowbar,4595.610670837867,1428.7143900507735,309.46750068554593,8881.753840990186,103
Punch,,,,,6425
Motorbike (SideCar),,,,,214
death.ProjMolotov_C,4135.185228825439,540.9675031597166,2512.282719346289,5758.087738304588,3
Micro UZI,,,,,5693
M24,,,,,901
death.PG117_A_01_C,5772.99422646641,1110.6713613782217,2440.9801423317444,9105.008310601075,3
M416,,,,,38658
Mini 14,,,,,7116
M249,,,,,372
Machete,4823.328016999016,1707.721494326523,-299.83646598055384,9946.492499978585,114
Van,,,,,104
Groza,,,,,641
Buggy,,,,,282
P18C,,,,,320
