,weapon,map,distance,killer name
13536,Punch,ERANGEL,7512.57545583091,ZZC427
13537,Punch,ERANGEL,5108.24639304429,yoowtf
13538,Hit by Car,ERANGEL,5093.805168295799,samlawn
13539,Pan,ERANGEL,7206.847854947543,XuYing1231
13540,P18C,ERANGEL,6265.919314021607,StupidTeddy
13541,Punch,ERANGEL,5003.2037474663175,shuangzizhanshen
13542,Punch,ERANGEL,4244.353611719457,xiaoffxiao
13543,Punch,ERANGEL,4240.881667221805,xiaoffxiao
13544,Punch,ERANGEL,4234.439600300493,xiaoffxiao
13545,Punch,ERANGEL,4230.869230527575,xiaoffxiao
13546,Punch,ERANGEL,4258.315594457743,xiaoffxiao
13547,Punch,ERANGEL,4234.431175392982,xiaoffxiao
13548,Punch,ERANGEL,7872.229201021589,KDYzongcai
13549,Punch,ERANGEL,3836.2794296354377,whwang
13550,Punch,ERANGEL,7870.666022684484,KDYzongcai
13551,Punch,ERANGEL,6081.19875922404,3maoNB
13552,Punch,ERANGEL,5826.1415515116005,XyrTheHunter
13553,Punch,ERANGEL,3559.8093707923463,Somethingshiyua
13554,P1911,ERANGEL,6324.405860989709,DarthSpidey
13555,Pan,ERANGEL,7718.409562315606,ENGLUND_IS_MY_CT
13556,P92,ERANGEL,5361.373310361628,XXXCAT
13557,Punch,ERANGEL,8424.97889849494,Jellystar
13558,P1911,ERANGEL,3383.42570666477,sdarrt
13559,Punch,ERANGEL,8366.706067666175,Ryuk_Rose
13560,P1911,ERANGEL,6243.144977392885,KingOfSparrow
13561,Punch,ERANGEL,3165.5869827407996,china-seven
13562,Punch,ERANGEL,3160.674796058114,china-seven
13563,Punch,ERANGEL,3175.9753127083654,china-seven
13564,Punch,ERANGEL,3187.2230818141675,china-seven
13565,Punch,ERANGEL,3173.0776011238677,china-seven
13566,Punch,ERANGEL,3175.8889736994897,china-seven
13567,Hit by Car,ERANGEL,110.56951372326849,EricHHK
13568,Hit by Car,ERANGEL,8529.25161880572,despactio__
13569,Hit by Car,ERANGEL,8526.680940056453,despactio__
13570,P1911,ERANGEL,5865.505643693644,ElCarameloOMG
13571,P1911,ERANGEL,5877.558939926081,ElCarameloOMG
13572,Hit by Car,ERANGEL,135.78693416157546,PlzDontShootMe1
13573,Hit by Car,ERANGEL,138.82569007572093,PlzDontShootMe1
13574,Punch,ERANGEL,8232.030857817408,Anmursielago
13575,Punch,ERANGEL,8226.569679435348,Anmursielago
13576,Punch,ERANGEL,8207.969923279203,Anmursielago
13577,Punch,ERANGEL,8215.35266194051,Anmursielago
13578,Punch,ERANGEL,8219.123883590026,Anmursielago
13579,P92,ERANGEL,3656.2345328671136,Bed_Potato
13580,P92,ERANGEL,3647.910665696324,Bed_Potato
13581,P1911,ERANGEL,3352.9382795454194,BoongsBoy
13582,Hit by Car,ERANGEL,7559.683843652259,okliren
13583,Punch,ERANGEL,3481.290728317444,loserchen1
13584,Punch,ERANGEL,3498.8954221496824,loserchen1
13585,Punch,ERANGEL,7993.396454771713,ScarlyGnarly
13586,Punch,ERANGEL,5888.107919205031,Huya-Chenchen
13587,Punch,ERANGEL,5884.314993140662,Huya-Chenchen
13588,Punch,ERANGEL,4912.908749273591,1415492395
13589,Sickle,ERANGEL,3438.5635418790794,AriesbbYu
13590,Punch,ERANGEL,6900.1442571216585,mao980626
13591,Punch,ERANGEL,6898.855551693847,TOMwenjun
13592,Pan,ERANGEL,6882.918811640306,labanche
13593,Hit by Car,ERANGEL,7840.086846441499,nidayeishiwo
13594,Hit by Car,ERANGEL,7854.168558879036,nidayeishiwo
13595,Hit by Car,ERANGEL,7827.285381106593,nidayeishiwo
13596,Punch,ERANGEL,3793.883251908656,yuanSmile
13597,Punch,ERANGEL,2642.6200463360224,xiaopoha
13598,Punch,ERANGEL,8409.922174350544,mynamejeffee
13599,Punch,ERANGEL,8386.491017678192,mynamejeffee
13600,Punch,ERANGEL,2643.0538465721806,Barrylyz
13601,Punch,ERANGEL,7752.976882933484,aiyuanyuan-w
13602,Punch,ERANGEL,7768.810601108255,aiyuanyuan-w
13603,P1911,ERANGEL,5343.549197827976,colossuschris
13604,Punch,ERANGEL,6697.598675743419,2icBErea11Y
13605,Punch,ERANGEL,6711.339838545803,2icBErea11Y
13606,Punch,ERANGEL,6726.080253750917,2icBErea11Y
13607,Punch,ERANGEL,4859.6996380914325,94piupiu
13608,Punch,ERANGEL,3507.049545861164,DrunkMonkey3
13609,Punch,ERANGEL,3484.03928135634,frozennipple
13610,R1895,ERANGEL,6454.309355404728,Pandaman4255
13611,P92,ERANGEL,7320.410465287107,Martyr_Mathias
13612,Punch,ERANGEL,6098.573664540341,GOSH-GOSH
13613,Punch,ERANGEL,3748.8387176053598,muzi199
13614,Punch,ERANGEL,7619.084021571229,MCDAFEI
13615,P1911,ERANGEL,6683.808002737437,NuhTingWong
13616,Punch,ERANGEL,4453.571456572803,FFDGD123456489
13617,Punch,ERANGEL,5220.3044265048375,Xitkitz
13618,P92,ERANGEL,7178.582504356762,CaptDanderBeard
13619,R1895,ERANGEL,6855.814808179478,qiaomeimei
13620,Hit by Car,ERANGEL,6169.042039700168,A-XI-BAA
13621,Punch,ERANGEL,8448.574808974885,mimn
13622,Punch,ERANGEL,8454.604745827271,mimn
13623,P18C,ERANGEL,5630.107420071219,HuyakongCk
13624,Punch,ERANGEL,2607.777655638034,Leo_da-Vinci
13625,Hit by Car,ERANGEL,2604.09548155516,Pianooo
13626,P1911,ERANGEL,5507.330349076584,FORBBBear
13627,Punch,ERANGEL,5466.276990372606,xSkye
13628,Pan,ERANGEL,5469.328984663842,XRL8866
13629,Hit by Car,ERANGEL,6000.338900712942,ohxiaoshenwei
13630,Punch,ERANGEL,6370.9587217380395,PJMOFO
13631,Punch,ERANGEL,7802.3040156339075,Doraemon0502
13632,Punch,ERANGEL,7787.072464889036,Doraemon0502
13633,Hit by Car,ERANGEL,8370.625413491216,Fat_Jenkins
13634,Hit by Car,ERANGEL,8392.350364622118,Fat_Jenkins
13635,P92,ERANGEL,7980.218311833455,WhichzhaG
13636,Punch,ERANGEL,6723.985220031422,pengdadan
13637,P1911,ERANGEL,7615.137825366525,HiroshimaPt2
13638,Punch,ERANGEL,6741.232674760011,pengdadan
13639,Punch,ERANGEL,5349.067030664786,liujiazhao
13640,Punch,ERANGEL,2669.397944782493,HandsomeMan88
13641,P92,ERANGEL,7196.885030127479,sblusi
13642,Punch,ERANGEL,3821.301320464666,IDragon69
13643,Punch,ERANGEL,3807.340594920423,IDragon69
13644,Punch,ERANGEL,4830.774112714648,DJIBAWAFN
