,weapon,map,distance,killer name
0,Punch,MIRAMAR,7675.399975539841,MasPoder
1,Punch,MIRAMAR,7916.371466482923,MasPoder
2,Hit by Car,MIRAMAR,7640.0587292670725,MIZHIYY
3,Hit by Car,MIRAMAR,5331.457972924479,DildooMan
4,R45,MIRAMAR,7370.240147780599,MikeyMissile
5,Punch,MIRAMAR,3782.02041506177,Kisswoba
6,P1911,MIRAMAR,2116.7221747220397,htwudi
7,Punch,MIRAMAR,3549.7463119108947,Kisswoba
8,Hit by Car,MIRAMAR,3712.032660553783,plaus1ble
9,P92,MIRAMAR,2131.0170903810226,Angrycpt
10,Punch,MIRAMAR,2383.102807035399,WX000001
11,R45,MIRAMAR,3785.374930755077,DaveKillsThugs
12,Punch,MIRAMAR,2147.7672098144158,Angrycpt
13,Punch,MIRAMAR,3013.077521036092,spinpanda233
14,Punch,MIRAMAR,3016.0419736260305,spinpanda233
15,P92,MIRAMAR,3763.0382489133694,xMikeyz
16,Punch,MIRAMAR,4960.593417670914,GeratofRiviaa
17,Hit by Car,MIRAMAR,4182.677459681776,HUAKMNNDN
18,Punch,MIRAMAR,4847.755197440151,lazabeast
19,Punch,MIRAMAR,5446.375576216259,Xedik
20,Punch,MIRAMAR,3710.761347427371,NvShenNanY1
21,Punch,MIRAMAR,5449.782966175167,Xedik
22,Punch,MIRAMAR,7342.712026033772,#unknown
23,P1911,MIRAMAR,4324.5223487652365,ChinesePikachu
24,Punch,MIRAMAR,7349.063322180929,#unknown
25,Punch,MIRAMAR,9085.46942761774,JinQingTao
26,Hit by Car,MIRAMAR,5195.073051281282,Tereus2020
27,P1911,MIRAMAR,3523.338286851264,ThicccNiccc
28,P92,MIRAMAR,3769.698767780391,Reitheboi
29,Hit by Car,MIRAMAR,4525.316877511232,ThicccNiccc
30,Hit by Car,MIRAMAR,5667.7048101978635,EESKT
31,P92,MIRAMAR,4394.247996744153,SonicMooseman
32,Punch,MIRAMAR,3215.367992153931,I_am_Luke
33,P18C,MIRAMAR,3637.0735356052396,Reitheboi
34,R45,MIRAMAR,2893.8134274581353,Genady123
35,Punch,MIRAMAR,7391.407328014402,xXgardiaszXx
36,P1911,MIRAMAR,6172.362486470477,IamChickenzii
37,P1911,MIRAMAR,4659.922475004171,HarveyTheKat
38,Punch,MIRAMAR,7396.926909510259,xXgardiaszXx
39,Punch,MIRAMAR,7398.859936968668,xXgardiaszXx
40,Punch,MIRAMAR,7408.64841817541,xXgardiaszXx
41,Punch,MIRAMAR,8005.8286913898555,xXgardiaszXx
42,Punch,MIRAMAR,2383.9670243613377,lowMeng
43,Punch,MIRAMAR,7362.426315414573,MAFIALUX
44,Punch,MIRAMAR,2341.9652393827287,Groser2
45,P1911,MIRAMAR,6591.1781506311145,Falcon1012
46,Punch,MIRAMAR,2338.6201226152225,CCAV7777777
47,P92,MIRAMAR,5012.638334731223,noke11
48,R45,MIRAMAR,5021.018827314831,Fu-Yan-Jieb
49,Punch,MIRAMAR,3746.5125899247955,Sunsleep
50,Hit by Car,MIRAMAR,3474.611042375967,theguy87
51,P92,MIRAMAR,4981.153549793863,Fu-Yan-Ji
52,P1911,MIRAMAR,4984.794484629131,emmapixiv
53,Punch,MIRAMAR,3926.605389557881,Nikemene
54,Punch,MIRAMAR,5959.800289933212,Kuhabe
55,Hit by Car,MIRAMAR,6212.578321848748,Make2much
56,P92,MIRAMAR,5131.746466986264,LeAlchem
57,Punch,MIRAMAR,4379.022018455948,GGOO-YONG
58,Punch,MIRAMAR,5136.546919412885,FishWithGuns
59,P92,MIRAMAR,5191.595415477307,domvanchub
60,Hit by Car,MIRAMAR,1660.4168809610314,Fartoviy
61,P92,MIRAMAR,3877.0516228041124,51011
62,Hit by Car,MIRAMAR,1833.2561304605667,Fartoviy
63,P92,MIRAMAR,3750.111234750511,H1Player
64,P1911,MIRAMAR,3261.783731043492,ROOTBEAR89
65,Hit by Car,MIRAMAR,4400.214894124718,Batataboya
66,P1911,MIRAMAR,4821.189648870079,Llzsixsixsix
67,R45,MIRAMAR,3220.908245621567,Tomson7
68,R45,MIRAMAR,3216.6265426312707,Tomson7
69,P92,MIRAMAR,4883.731725741085,Tabrisos
70,Punch,MIRAMAR,3720.2665698565206,Huya_xingBai
71,Punch,MIRAMAR,3776.8365462366783,AZIZE7
72,R45,MIRAMAR,3719.7324492039747,hasg
73,P1911,MIRAMAR,4873.325695737255,yypii
74,P1911,MIRAMAR,4867.3403231281245,yypii
75,P92,MIRAMAR,4627.220670816662,qq943812357
76,P1911,MIRAMAR,4890.28180768808,BonePhone
77,P1911,MIRAMAR,4862.064397648493,BonePhone
78,Punch,MIRAMAR,2659.6442694255184,DJTU-kuaidiyuan
79,Punch,MIRAMAR,4857.098524149988,Dstifler
80,P92,MIRAMAR,4811.334050766897,SUCCPhill
81,Punch,MIRAMAR,2303.431380524499,lingegett
82,Hit by Car,MIRAMAR,4323.1399589192115,Foandypapa
83,Punch,MIRAMAR,2317.268358724557,THeSOmbar
84,P1911,MIRAMAR,3021.810995624479,Ashe12145
85,Hit by Car,MIRAMAR,3349.9225727800035,CapsLkBack
86,Punch,MIRAMAR,3307.60262997628,lingegett
87,P1911,MIRAMAR,3273.8073598678648,Ashe12145
88,P92,MIRAMAR,2801.3706518417016,kangxingdebaba
89,P92,MIRAMAR,3598.204387445077,CapsLkBack
90,Punch,MIRAMAR,3307.7224944660948,lingegett
91,P1911,MIRAMAR,3753.272203198164,Zong_duoduo
92,P92,MIRAMAR,5046.434625278524,PDDdazhanPG
93,Hit by Car,MIRAMAR,4524.6635682335545,TheMartianite
94,Punch,MIRAMAR,7669.664629595547,CHiZZRAFF
95,P1911,MIRAMAR,4865.329572226839,TheemurGG
96,P1911,MIRAMAR,4871.057238221903,TheemurGG
97,Punch,MIRAMAR,5407.697972676543,dynastyg
98,Punch,MIRAMAR,3772.236156553431,Coyc_
99,Hit by Car,MIRAMAR,7981.093864355499,Xiete
100,Punch,MIRAMAR,7929.400206217996,Chaaps
101,Punch,MIRAMAR,7976.079156613355,Xiete
102,P1911,MIRAMAR,8011.161134746761,Xiete
103,P18C,MIRAMAR,5475.940411130312,LeMallah96
104,Punch,MIRAMAR,5525.075859656951,Mamma_
105,Hit by Car,MIRAMAR,2946.677751516274,Karl_withLove
106,Pan,MIRAMAR,5507.69358786289,tony198809
107,Punch,MIRAMAR,7376.043314962636,Chaaps
108,Pan,MIRAMAR,5457.105177982187,tony198809
109,Punch,MIRAMAR,3868.9787956433674,Favored_
110,P18C,MIRAMAR,3744.9231074943314,ChenBing0
111,Hit by Car,MIRAMAR,4462.649414716106,NiuBiSK
112,Punch,MIRAMAR,5241.022122177791,Gude-rian
113,Hit by Car,MIRAMAR,4583.459693925648,NiuBiLK
114,P18C,MIRAMAR,3495.560205015785,SongSHuo
115,P18C,MIRAMAR,3754.6166385731044,SongSHuo
116,P1911,MIRAMAR,3881.500231849149,ll__BOB__ll
117,Hit by Car,MIRAMAR,4463.211413241591,cjc0321
118,P1911,MIRAMAR,3305.515524692782,gangkuiV5
119,P92,MIRAMAR,3176.97232942514,siwendeliumang
120,R45,MIRAMAR,3738.109679893435,zxqcomedy
121,R45,MIRAMAR,3727.6745281448593,OldBooks
122,Hit by Car,MIRAMAR,5895.942564328455,cronos-eliseo
123,Hit by Car,MIRAMAR,4299.167123700357,fhinghf
124,Punch,MIRAMAR,3858.0889666264825,Kuesma
125,Punch,MIRAMAR,2717.8577971860486,mysister
126,P92,MIRAMAR,4819.334003223371,Kaellian
127,Hit by Car,MIRAMAR,2817.1651480033966,pli3rs
128,P92,MIRAMAR,4631.7262035705435,RogueCreed
