weapon,mean distance,standard deviation,lower bound,upper bound,frequency
death.RedZoneBomb_C,,,,,14
S1897,,,,,10215
Tommy Gun,,,,,3678
SCAR-L,,,,,30226
Falling,,,,,2639
AWM,,,,,756
Aquarail,7167.078686413934,199.90589092955426,6567.361013625271,7766.796359202596,6
AUG,,,,,805
Punch,,,,,6638
Groza,,,,,581
Crowbar,,,,,88
death.WeapSawnoff_C,,,,,1647
Vector,,,,,1754
Mini 14,,,,,7039
death.ProjMolotov_DamageField_C,,,,,168
Sickle,,,,,107
Micro UZI,,,,,5585
M249,,,,,440
death.ProjMolotov_C,4044.8088012297662,1444.6262151025865,-289.0698440779929,8378.687446537526,9
R45,,,,,1014
Kar98k,,,,,7682
Buggy,,,,,249
UMP9,,,,,16346
P1911,,,,,2696
Pan,,,,,358
Drown,,,,,939
death.Buff_FireDOT_C,,,,,73
death.PG117_A_01_C,5141.542731860787,0.34759319877847916,5140.499952264452,5142.585511457122,2
Van,,,,,88
Motorbike (SideCar),,,,,201
VSS,,,,,605
M416,,,,,38381
M24,,,,,963
Win94,,,,,3318
P18C,,,,,287
Grenade,,,,,5683
Machete,,,,,105
SKS,,,,,7327
Mk14,,,,,423
Crossbow,,,,,378
S686,,,,,6327
Pickup Truck,,,,,1423
P92,,,,,3094
AKM,,,,,24612
M16A4,,,,,24789
Hit by Car,,,,,2777
Motorbike,,,,,230
S12K,,,,,5885
RedZone,,,,,344
Down and Out,,,,,52624
Bluezone,,,,,15466
