,weapon,map,distance,killer name
0,Punch,ERANGEL,7774.971844695323,564156123
1,Punch,ERANGEL,3768.473359876649,China-hongniu
2,P92,ERANGEL,7692.317681561066,jubehen
3,Punch,ERANGEL,7409.8232375066145,ChiJ1H
4,Punch,ERANGEL,5168.693939590542,Phoebe521521
5,P92,ERANGEL,4478.3239667608905,nibabashuaibu
6,Punch,ERANGEL,3480.2134774579563,myshunshine
7,Punch,ERANGEL,3480.3566488733595,Mmmmmlong
8,Punch,ERANGEL,3475.0303120665008,Mmmmmlong
9,Punch,ERANGEL,8421.494678421164,Another114
10,Punch,ERANGEL,8442.97523376286,SOSGGGG
11,Punch,ERANGEL,7928.729497376298,caozhikun777
12,Punch,ERANGEL,7944.049146164505,caozhikun777
13,Punch,ERANGEL,7930.029512684805,caozhikun777
14,Punch,ERANGEL,7934.248941968294,caozhikun777
15,R1895,ERANGEL,7699.25739674691,Twinsyoona
16,P92,ERANGEL,7581.817443366267,SirAsesinato
17,Punch,ERANGEL,4401.166615583758,Iamthend
18,Punch,ERANGEL,4897.4643862360035,Ricktom
19,Punch,ERANGEL,6812.785607573161,xXNiamhXx
20,Punch,ERANGEL,6794.2915301298335,xXNiamhXx
21,Punch,ERANGEL,6801.359173845254,iConvulsioN
22,Punch,ERANGEL,4246.157795822594,Limonchik64
23,R1895,ERANGEL,7854.478555621945,Holyhorn
24,Punch,ERANGEL,4269.75787876924,Limonchik64
25,Punch,ERANGEL,4268.263390654331,Limonchik64
26,Pan,ERANGEL,6499.752954517348,Oriannawy
27,R1895,ERANGEL,7284.091674761172,hriepoo
28,Hit by Car,ERANGEL,3555.136112358147,Jingzuling
29,Punch,,2951.849906222857,PG20
30,Punch,ERANGEL,6992.561845041129,chendieyi
31,Punch,ERANGEL,6998.615784628415,nono_nana
32,P1911,ERANGEL,6996.2489893949605,Aramsiel
33,Punch,ERANGEL,8330.722342354833,T-Sama
34,P92,ERANGEL,5549.65840436337,zpAULO
35,Punch,ERANGEL,6959.629159495281,liyunfei6666
36,Punch,ERANGEL,6976.798324873093,liyunfei6666
37,Hit by Car,ERANGEL,415.3651366267995,QiaoPengWei
38,Punch,ERANGEL,6980.5525183842,liyunfei6666
39,P1911,ERANGEL,5332.136562367191,LUJINYANG1
40,R1895,ERANGEL,5585.224396421778,Draco7858
41,Punch,ERANGEL,7957.871667721841,CKZKING
42,Punch,ERANGEL,7940.27874818271,NexusgGTS
43,Punch,ERANGEL,7452.277126803659,Saobao33
44,Punch,ERANGEL,5639.110236926566,Sara_Yi
45,Punch,ERANGEL,4167.045328073718,Semkin
46,Punch,ERANGEL,4148.492037583897,nej_trino
47,Punch,ERANGEL,2663.7252532716284,SLiP_RUS
48,Punch,ERANGEL,7797.346454752411,Xiaolige007
49,Punch,ERANGEL,5795.268222428104,Evildoer-87
50,Punch,ERANGEL,5795.06009515527,Evildoer-87
51,P92,ERANGEL,6662.835207380715,w02king
52,Punch,ERANGEL,7404.102232632461,fengxiaoding
53,Punch,ERANGEL,7951.280104128391,FDO-Cmoney
54,Punch,ERANGEL,7931.0881441555675,FDO-Cmoney
55,Hit by Car,ERANGEL,7065.90881903701,shehuiniguoge5
56,Hit by Car,ERANGEL,7057.891206764595,shehuiniguoge5
57,Punch,ERANGEL,2749.7401723742914,huaugtao
58,Punch,ERANGEL,2773.0715570302186,huaugtao
59,Hit by Car,ERANGEL,6817.481407581541,Death09
60,Punch,ERANGEL,3161.9361475167393,BestTorbEver
61,Punch,ERANGEL,4426.535471567352,anananye
62,Punch,ERANGEL,4415.255444613483,anananye
63,R1895,ERANGEL,4413.545500431257,anananye
64,Punch,ERANGEL,4813.343491964395,Severrian
65,Punch,ERANGEL,4827.95218726584,Severrian
66,P92,ERANGEL,4520.009575085654,Kalik
67,Punch,ERANGEL,3506.003746230172,SneaKyCHAMP
68,Punch,ERANGEL,7981.865542848802,SantaCoCo
69,Punch,ERANGEL,7965.35758339555,SantaCoCo
