weapon,mean distance,standard deviation,lower bound,upper bound,frequency
Van,,,,,178
P18C,,,,,644
death.RedZoneBomb_C,,,,,20
Kar98k,,,,,15231
death.ProjMolotov_C,3851.9899099077093,1562.8486395963325,-836.5560088812881,8540.535828696706,10
AWM,,,,,1420
death.PG117_A_01_C,5489.5295451227175,2202.2649862408125,-1117.26541359972,12096.324503845155,9
Aquarail,7011.805613812003,559.1860979522176,5334.24731995535,8689.363907668656,13
SKS,,,,,14768
SCAR-L,,,,,59952
Mini 14,,,,,14295
Vector,,,,,3654
S12K,,,,,11623
Grenade,,,,,11206
M416,,,,,77170
AKM,,,,,49895
Buggy,,,,,541
Drown,,,,,1917
M249,,,,,813
Mk14,,,,,780
Pan,,,,,728
Hit by Car,,,,,5710
Machete,,,,,246
S686,,,,,12434
Groza,,,,,1265
death.WeapSawnoff_C,,,,,3280
UMP9,,,,,32545
Falling,,,,,5384
Win94,,,,,6722
Crossbow,,,,,687
Pickup Truck,,,,,2559
AUG,,,,,1684
Motorbike (SideCar),,,,,449
Crowbar,,,,,210
S1897,,,,,20266
Sickle,,,,,187
M16A4,,,,,49839
Punch,,,,,13100
VSS,,,,,1324
P1911,,,,,5237
M24,,,,,1821
Down and Out,,,,,104503
R45,,,,,2033
Motorbike,,,,,468
Tommy Gun,,,,,7080
P92,,,,,6164
Micro UZI,,,,,11421
Bluezone,,,,,31115
death.Buff_FireDOT_C,,,,,151
RedZone,,,,,676
death.ProjMolotov_DamageField_C,,,,,374
