weapon,mean distance,standard deviation,lower bound,upper bound,frequency
UMP9,,,,,202513
Boat,,,,,569
S12K,,,,,83690
DP-28,,,,,12327
Dacia,,,,,6439
Micro UZI,,,,,74129
death.WeapSawnoff_C,4193.459901325679,950.2256112405248,1342.7830676041049,7044.136735047254,29
Kar98k,,,,,94797
Hit by Car,,,,,34165
Vector,,,,,21421
Falling,,,,,41606
Motorbike,,,,,3261
AWM,,,,,7894
Pan,,,,,5153
P92,,,,,41900
SKS,,,,,82854
Punch,,,,,100019
Crowbar,,,,,1599
P18C,,,,,4433
P1911,,,,,42722
death.PlayerMale_A_C,7504.844411036981,0.0,7504.844411036981,7504.844411036981,1
AKM,,,,,316784
M16A4,,,,,346494
VSS,,,,,9237
S686,,,,,93579
M249,,,,,8686
R45,4389.822452216986,943.466031420515,1559.4243579554404,7220.220546478531,24
Down and Out,,,,,630467
Mini 14,,,,,118758
death.RedZoneBomb_C,,,,,25
death.Buff_FireDOT_C,,,,,923
SCAR-L,,,,,337353
Uaz,,,,,14997
Crossbow,,,,,6336
RedZone,,,,,4842
Machete,,,,,1796
R1895,,,,,12554
AUG,,,,,1752
Grenade,,,,,65503
Groza,,,,,12248
M24,,,,,11369
Drown,,,,,16051
M416,,,,,409235
death.ProjMolotov_C,4856.028132582471,1584.7438123104735,101.79669565104996,9610.259569513892,89
Mk14,,,,,4709
Sickle,,,,,1452
Aquarail,5242.79997962986,2590.3981421806684,-2528.394446912145,13013.994406171865,2
Motorbike (SideCar),,,,,3740
S1897,,,,,163039
Buggy,,,,,2640
death.ProjMolotov_DamageField_C,,,,,2245
Tommy Gun,,,,,46846
Bluezone,,,,,177338
